Date : 2022-11-30 18:36:55
Directory : /home/sena/Documents/ANiStorage
Total : 145 files,  22243 codes, 130 comments, 1082 blanks, all 23455 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     10,388 |          0 |          5 |     10,393 |
| TypeScript React   |         85 |      8,869 |         49 |        713 |      9,631 |
| JavaScript         |         30 |      2,345 |         70 |        298 |      2,713 |
| TypeScript         |         20 |        570 |          9 |         59 |        638 |
| HTML               |          1 |         23 |          0 |          1 |         24 |
| PostCSS            |          1 |         22 |          2 |          5 |         29 |
| JSON with Comments |          1 |         21 |          0 |          1 |         22 |
| XML                |          2 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        145 |     22,243 |        130 |      1,082 |     23,455 |
| server                                                                                          |         30 |      5,983 |         69 |        297 |      6,349 |
| server/src                                                                                      |         28 |      2,274 |         69 |        295 |      2,638 |
| server/src/controllers                                                                          |          6 |      1,738 |         35 |        217 |      1,990 |
| server/src/middlewares                                                                          |          2 |         28 |          0 |          5 |         33 |
| server/src/models                                                                               |         10 |        236 |          5 |         29 |        270 |
| server/src/routes                                                                               |          6 |        179 |          0 |         21 |        200 |
| server/src/services                                                                             |          1 |         48 |          3 |          5 |         56 |
| web                                                                                             |        115 |     16,260 |         61 |        785 |     17,106 |
| web/public                                                                                      |          1 |          4 |          0 |          0 |          4 |
| web/src                                                                                         |        106 |      9,457 |         59 |        775 |     10,291 |
| web/src/assets                                                                                  |          1 |          1 |          0 |          0 |          1 |
| web/src/components                                                                              |         80 |      7,135 |         22 |        595 |      7,752 |
| web/src/components/account                                                                      |         17 |      1,593 |          0 |        142 |      1,735 |
| web/src/components/account/integrate                                                            |          9 |      1,052 |          0 |         86 |      1,138 |
| web/src/components/addManga                                                                     |          4 |        324 |          0 |         21 |        345 |
| web/src/components/addManga/integrate                                                           |          1 |         27 |          0 |          4 |         31 |
